id_estacion,autoridad_ambiental,estaci_n,latitud,longitud,variable,unidades,tiempo_de_exposici_n_horas,a_o,promedio,suma,no_de_datos,representatividad_temporal,excedencias_limite_actual,porcentaje_excedencias_limite,mediana,percentil_98,m_ximo,fechas_horas_del_m_ximo,m_nimo,fechas_horas_del_m_nimo,d_as_de_excedencias,c_digo_del_departamento,nombre_del_departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,ubicacion
31884,CORPOCALDAS,CATÓLICA (UCM),5.059305,-75.487264,PM10,ugm3,24,2021,18.4,1273.0,69,57.0,0,0.0,18.0,27.9,30.0,2021-12-17,9.0,2021-11-14,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.487264, 5.059305]}"
31802,CORPOCALDAS,ESTACION LA DORADA,5.453923,-74.664749,PM10,ugm3,24,2021,19.7,2389.0,121,99.0,0,0.0,18.0,40.6,49.0,2021-12-10,5.0,2021-07-30,0,17,CALDAS,17380.0,LA DORADA,Fija,"{'type': 'Point', 'coordinates': [-74.664749, 5.453923]}"
8235,CORPOCALDAS,GOBERNACION,5.068433,-75.517243,PM10,ugm3,24,2021,22.0,2617.0,119,98.0,0,0.0,22.0,34.0,47.0,2021-11-29,8.0,,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.517243, 5.068433]}"
8235,CORPOCALDAS,GOBERNACION,5.068433,-75.517243,O3,ugm3,8,2021,29.0,191606.2,6606,75.0,0,0.0,27.2,60.0,91.8,,3.3,,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.517243, 5.068433]}"
8234,CORPOCALDAS,MILÁN,5.047326,-75.480838,PM10,ugm3,24,2021,30.2,3141.0,104,85.0,0,0.0,30.0,40.0,45.0,2021-01-16,17.0,,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.480838, 5.047326]}"
8235,CORPOCALDAS,GOBERNACION,5.068433,-75.517243,SO2,ugm3,24,2021,6.7,1934.73,289,79.0,0,0.0,6.4,11.5,13.8,,3.0,,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.517243, 5.068433]}"
8235,CORPOCALDAS,GOBERNACION,5.068433,-75.517243,SO2,ugm3,1,2021,6.7,46591.32,6967,80.0,0,0.0,6.3,13.5,28.1,,0.7,,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.517243, 5.068433]}"
8235,CORPOCALDAS,GOBERNACION,5.068433,-75.517243,CO,ugm3,1,2021,1055.1,7489174.32,7098,81.0,0,0.0,1015.7,1792.8,2493.6,,373.4,,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.517243, 5.068433]}"
8235,CORPOCALDAS,GOBERNACION,5.068433,-75.517243,CO,ugm3,8,2021,1055.2,7474279.1,7083,81.0,0,0.0,1027.3,1656.9,2274.8,,483.0,,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.517243, 5.068433]}"
31927,CORPOCALDAS,SAN JOSÉ,5.084928,-75.791051,PM10,ugm3,24,2022,8.9,275.0,31,25.0,0,0.0,8.0,20.8,25.0,,4.0,,0,17,CALDAS,17665.0,SAN JOSÉ,Fija,"{'type': 'Point', 'coordinates': [-75.791051, 5.084928]}"
31948,CORPOCALDAS,BELALCAZAR,4.99723,-75.811133,PM10,ugm3,24,2022,12.5,387.0,31,25.0,0,0.0,13.0,19.4,23.0,,6.0,,0,17,CALDAS,17088.0,BELALCÁZAR,Indicativa,"{'type': 'Point', 'coordinates': [-75.811133, 4.99723]}"
8235,CORPOCALDAS,GOBERNACIÓN,5.068433,-75.517243,PM2.5,ugm3,24,2022,14.1,1647.0,117,96.0,0,0.0,14.0,25.0,31.0,,6.0,,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.517243, 5.068433]}"
31637,CORPOCALDAS,ESTACIÓN LA NUBIA,5.02972,-75.4716,PM10,ugm3,24,2022,18.0,1801.0,100,82.0,0,0.0,17.5,33.0,36.0,,9.0,,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.4716, 5.02972]}"
31639,CORPOCALDAS,ESTACIÓN PALOGRANDE,5.0562,-75.492027,PM10,ugm3,24,2022,19.0,2123.0,112,92.0,0,0.0,19.0,29.8,33.0,,10.0,,0,17,CALDAS,17001.0,MANIZALES,Fija,"{'type': 'Point', 'coordinates': [-75.492027, 5.0562]}"
